epoch,step,train_loss,val_accuracy,val_loss
0,49,0.8302880525588989,,
0,99,0.675057053565979,,
0,149,0.7684521675109863,,
0,199,0.6752204298973083,,
0,249,0.7188347578048706,,
0,299,0.5380151271820068,,
0,349,0.6748958826065063,,
0,399,0.48712000250816345,,
0,449,0.49446043372154236,,
0,468,,0.8054166436195374,0.5251174569129944
1,499,0.4609273672103882,,
1,549,0.5142069458961487,,
1,599,0.45217394828796387,,
1,649,0.5583168268203735,,
1,699,0.6081395149230957,,
1,749,0.46269381046295166,,
1,799,0.512087345123291,,
1,849,0.38299560546875,,
1,899,0.5410088896751404,,
1,937,,0.8428166508674622,0.43055716156959534
2,949,0.3775472640991211,,
2,999,0.43467146158218384,,
2,1049,0.5485624074935913,,
2,1099,0.47312965989112854,,
2,1149,0.46465250849723816,,
2,1199,0.5442551374435425,,
2,1249,0.373532235622406,,
2,1299,0.3736625015735626,,
2,1349,0.3785417079925537,,
2,1399,0.47407105565071106,,
2,1406,,0.8605999946594238,0.3831999599933624
3,1449,0.2787584066390991,,
3,1499,0.512209951877594,,
3,1549,0.38840222358703613,,
3,1599,0.4522154927253723,,
3,1649,0.3890913128852844,,
3,1699,0.3533397912979126,,
3,1749,0.24897125363349915,,
3,1799,0.3932880759239197,,
3,1849,0.4499537944793701,,
3,1875,,0.8655666708946228,0.36643439531326294
4,1899,0.37316372990608215,,
4,1949,0.30562180280685425,,
4,1999,0.4243290424346924,,
4,2049,0.42159438133239746,,
4,2099,0.29321956634521484,,
4,2149,0.4569551944732666,,
4,2199,0.3319145441055298,,
4,2249,0.3349553942680359,,
4,2299,0.3540079593658447,,
4,2344,,0.869350016117096,0.357429563999176
