epoch,step,train_loss,val_accuracy,val_loss
0,49,0.678932785987854,,
0,99,0.46697497367858887,,
0,149,0.6132106781005859,,
0,199,0.4440601170063019,,
0,249,0.524194061756134,,
0,299,0.4193301796913147,,
0,349,0.6339033842086792,,
0,399,0.3622128367424011,,
0,449,0.39910179376602173,,
0,468,,0.859499990940094,0.379818856716156
1,499,0.29468733072280884,,
1,549,0.3156142830848694,,
1,599,0.32206016778945923,,
1,649,0.38662928342819214,,
1,699,0.4244152903556824,,
1,749,0.39934077858924866,,
1,799,0.3378692865371704,,
1,849,0.34845858812332153,,
1,899,0.35768768191337585,,
1,937,,0.887499988079071,0.31037360429763794
2,949,0.25536656379699707,,
2,999,0.3014134466648102,,
2,1049,0.35875654220581055,,
2,1099,0.2523956298828125,,
2,1149,0.27198585867881775,,
2,1199,0.30791807174682617,,
2,1249,0.2825019955635071,,
2,1299,0.2274530678987503,,
2,1349,0.31163889169692993,,
2,1399,0.30426597595214844,,
2,1406,,0.8999999761581421,0.2839905619621277
3,1449,0.18293340504169464,,
3,1499,0.3240925073623657,,
3,1549,0.21743273735046387,,
3,1599,0.21850132942199707,,
3,1649,0.19250282645225525,,
3,1699,0.2517092525959015,,
3,1749,0.17963048815727234,,
3,1799,0.2203584909439087,,
3,1849,0.33109408617019653,,
3,1875,,0.9053000211715698,0.2707054316997528
4,1899,0.23994189500808716,,
4,1949,0.19770681858062744,,
4,1999,0.29793697595596313,,
4,2049,0.29908013343811035,,
4,2099,0.19672906398773193,,
4,2149,0.29691746830940247,,
4,2199,0.23130697011947632,,
4,2249,0.21971435844898224,,
4,2299,0.22489690780639648,,
4,2344,,0.9046000242233276,0.26877304911613464
